,Unidades,Total
0,PARAIBA,329842
1,AGUA BRANCA,1523
2,AGUIAR,593
3,ALAGOA GRANDE,2826
4,ALAGOA NOVA,1848
5,ALAGOINHA,1769
6,ALCANTIL,727
7,ALGODAO DE JANDAIRA,521
8,ALHANDRA,2290
9,AMPARO,396
10,APARECIDA,861
11,ARACAGI,1620
12,ARARA,1421
13,ARARUNA,2277
14,AREIA,1967
15,AREIA DE BARAUNAS,271
16,AREIAL,1140
17,AROEIRAS,2279
18,ASSUNCAO,647
19,BAIA DA TRAICAO,1286
20,BANANEIRAS,2600
21,BARAUNA,751
22,BARRA DE SANTA ROSA,1484
23,BARRA DE SANTANA,1234
24,BARRA DE SAO MIGUEL,739
25,BAYEUX,6419
26,BELEM,1101
27,BELEM DO BREJO DO CRUZ,722
28,BERNARDINO BATISTA,628
29,BOA VENTURA,575
30,BOA VISTA,1022
31,BOM JESUS,493
32,BOM SUCESSO,455
33,BONITO DE SANTA FE,1166
34,BOQUEIRAO,1818
35,BORBOREMA,690
36,BREJO DO CRUZ,1522
37,BREJO DOS SANTOS,410
38,CAAPORA,3259
39,CABACEIRAS,648
40,CABEDELO,4254
41,CACHOEIRA DOS INDIOS,1032
42,CACIMBA DE AREIA,485
43,CACIMBA DE DENTRO,2013
44,CACIMBAS,1585
45,CAICARA,753
46,CAJAZEIRAS,3789
47,CAJAZEIRINHAS,493
48,CALDAS BRANDAO,556
49,CAMALAU,1003
50,CAMPINA GRANDE,19034
51,CAPIM,1024
52,CARAUBAS,501
53,CARRAPATEIRA,370
54,CASSERENGUE,1180
55,CATINGUEIRA,716
56,CATOLE DO ROCHA,2238
57,CATURITE,620
58,CONCEICAO,1529
59,CONDADO,780
60,CONDE,4022
61,CONGO,542
62,COREMAS,1313
63,COXIXOLA,134
64,CRUZ DO ESPIRITO SANTO,1889
65,CUBATI,1179
66,CUITE,1519
67,CUITE DE MAMANGUAPE,1012
68,CUITEGI,784
69,CURRAL DE CIMA,841
70,CURRAL VELHO,261
71,DAMIAO,808
72,DESTERRO,672
73,DIAMANTE,609
74,DONA INES,1537
75,DUAS ESTRADAS,418
76,EMAS,401
77,ESPERANCA,3663
78,FAGUNDES,1254
79,FREI MARTINHO,344
80,GADO BRAVO,1396
81,GUARABIRA,3861
82,GURINHEM,1655
83,GURJAO,432
84,IBIARA,441
85,IGARACY,742
86,IMACULADA,1451
87,INGA,1761
88,ITABAIANA,923
89,ITAPORANGA,1208
90,ITAPOROROCA,1833
91,ITATUBA,1083
92,JACARAU,1968
93,JERICO,489
94,JOAO PESSOA,37950
95,JOCA CLAUDINO,374
96,JUAREZ TAVORA,1044
97,JUAZEIRINHO,2170
98,JUNCO DO SERIDO,750
99,JURIPIRANGA,1117
100,JURU,1170
101,LAGOA,468
102,LAGOA DE DENTRO,1026
103,LAGOA SECA,2863
104,LASTRO,477
105,LIVRAMENTO,1173
106,LOGRADOURO,523
107,LUCENA,1894
108,MAE DAGUA,563
109,MALTA,622
110,MAMANGUAPE,4112
111,MANAIRA,1242
112,MARCACAO,1048
113,MARI,1729
114,MARIZOPOLIS,818
115,MASSARANDUBA,1510
116,MATARACA,1237
117,MATINHAS,581
118,MATO GROSSO,313
119,MATUREIA,1096
120,MOGEIRO,1695
121,MONTADAS,903
122,MONTE HOREBE,645
123,MONTEIRO,3304
124,MULUNGU,738
125,NATUBA,1105
126,NAZAREZINHO,747
127,NOVA FLORESTA,769
128,NOVA OLINDA,654
129,NOVA PALMEIRA,449
130,OLHO DAGUA,758
131,OLIVEDOS,511
132,OURO VELHO,376
133,PARARI,134
134,PASSAGEM,357
135,PATOS,6817
136,PAULISTA,1421
137,PEDRA BRANCA,456
138,PEDRA LAVRADA,929
139,PEDRAS DE FOGO,3797
140,PEDRO REGIS,726
141,PIANCO,1313
142,PICUI,2531
143,PILAR,893
144,PILOES,1007
145,PILOEZINHOS,613
146,PIRPIRITUBA,642
147,PITIMBU,2007
148,POCINHOS,2815
149,POCO DANTAS,792
150,POCO DE JOSE DE MOURA,583
151,POMBAL,2690
152,PRATA,488
153,PRINCESA ISABEL,1351
154,PUXINANA,1181
155,QUEIMADAS,4544
156,QUIXABA,260
157,REMIGIO,2154
158,RIACHAO,508
159,RIACHAO DO BACAMARTE,587
160,RIACHAO DO POCO,746
161,RIACHO DE SANTO ANTONIO,363
162,RIACHO DOS CAVALOS,762
163,RIO TINTO,2327
164,SALGADINHO,547
165,SALGADO DE SAO FELIX,1136
166,SANTA CECILIA,1118
167,SANTA CRUZ,469
168,SANTA HELENA,610
169,SANTA INES,419
170,SANTA LUZIA,841
171,SANTA RITA,8885
172,SANTA TERESINHA,487
173,SANTANA DE MANGUEIRA,760
174,SANTANA DOS GARROTES,708
175,SANTO ANDRE,367
176,SAO BENTINHO,469
177,SAO BENTO,3603
178,SAO DOMINGOS,424
179,SAO DOMINGOS DO CARIRI,325
180,SAO FRANCISCO,437
181,SAO JOAO DO CARIRI,437
182,SAO JOAO DO RIO DO PEIXE,1177
183,SAO JOAO DO TIGRE,726
184,SAO JOSE DA LAGOA TAPADA,923
185,SAO JOSE DE CAIANA,749
186,SAO JOSE DE ESPINHARAS,453
187,SAO JOSE DE PIRANHAS,1515
188,SAO JOSE DE PRINCESA,271
189,SAO JOSE DO BONFIM,546
190,SAO JOSE DO BREJO DO CRUZ,315
191,SAO JOSE DO SABUGI,465
192,SAO JOSE DOS CORDEIROS,207
193,SAO JOSE DOS RAMOS,796
194,SAO MAMEDE,906
195,SAO MIGUEL DE TAIPU,733
196,SAO SEBASTIAO DE LAGOA DE ROCA,1071
197,SAO SEBASTIAO DO UMBUZEIRO,456
198,SAO VICENTE DO SERIDO,1103
199,SAPE,3903
200,SERRA BRANCA,1170
201,SERRA DA RAIZ,249
202,SERRA GRANDE,495
203,SERRA REDONDA,688
204,SERRARIA,444
205,SERTAOZINHO,562
206,SOBRADO,1184
207,SOLANEA,2477
208,SOLEDADE,1310
209,SOSSEGO,510
210,SOUSA,3592
211,SUME,1790
212,TACIMA,984
213,TAPEROA,1013
214,TAVARES,1644
215,TEIXEIRA,1532
216,TENORIO,555
217,TRIUNFO,913
218,UIRAUNA,913
219,UMBUZEIRO,1164
220,VARZEA,318
221,VIEIROPOLIS,511
222,VISTA SERRANA,386
223,ZABELE,365
